Kategori: Nyheter

Tid,Geo: New Zealand
2016-10-28T12:00:00+02:00,20
2016-10-28T12:08:00+02:00,13
2016-10-28T12:16:00+02:00,52
2016-10-28T12:24:00+02:00,17
2016-10-28T12:32:00+02:00,14
2016-10-28T12:40:00+02:00,13
2016-10-28T12:48:00+02:00,35
2016-10-28T12:56:00+02:00,11
2016-10-28T13:04:00+02:00,19
2016-10-28T13:12:00+02:00,0
2016-10-28T13:20:00+02:00,22
2016-10-28T13:28:00+02:00,15
2016-10-28T13:36:00+02:00,9
2016-10-28T13:44:00+02:00,18
2016-10-28T13:52:00+02:00,20
2016-10-28T14:00:00+02:00,0
2016-10-28T14:08:00+02:00,6
2016-10-28T14:16:00+02:00,9
2016-10-28T14:24:00+02:00,0
2016-10-28T14:32:00+02:00,0
2016-10-28T14:40:00+02:00,6
2016-10-28T14:48:00+02:00,0
2016-10-28T14:56:00+02:00,0
2016-10-28T15:04:00+02:00,0
2016-10-28T15:12:00+02:00,7
2016-10-28T15:20:00+02:00,8
2016-10-28T15:28:00+02:00,5
2016-10-28T15:36:00+02:00,0
2016-10-28T15:44:00+02:00,0
2016-10-28T15:52:00+02:00,0
2016-10-28T16:00:00+02:00,5
2016-10-28T16:08:00+02:00,0
2016-10-28T16:16:00+02:00,0
2016-10-28T16:24:00+02:00,0
2016-10-28T16:32:00+02:00,11
2016-10-28T16:40:00+02:00,9
2016-10-28T16:48:00+02:00,0
2016-10-28T16:56:00+02:00,12
2016-10-28T17:04:00+02:00,0
2016-10-28T17:12:00+02:00,15
2016-10-28T17:20:00+02:00,0
2016-10-28T17:28:00+02:00,4
2016-10-28T17:36:00+02:00,0
2016-10-28T17:44:00+02:00,0
2016-10-28T17:52:00+02:00,6
2016-10-28T18:00:00+02:00,11
2016-10-28T18:08:00+02:00,0
2016-10-28T18:16:00+02:00,11
2016-10-28T18:24:00+02:00,13
2016-10-28T18:32:00+02:00,15
2016-10-28T18:40:00+02:00,10
2016-10-28T18:48:00+02:00,0
2016-10-28T18:56:00+02:00,11
2016-10-28T19:04:00+02:00,10
2016-10-28T19:12:00+02:00,25
2016-10-28T19:20:00+02:00,9
2016-10-28T19:28:00+02:00,36
2016-10-28T19:36:00+02:00,33
2016-10-28T19:44:00+02:00,19
2016-10-28T19:52:00+02:00,26
2016-10-28T20:00:00+02:00,41
2016-10-28T20:08:00+02:00,47
2016-10-28T20:16:00+02:00,31
2016-10-28T20:24:00+02:00,61
2016-10-28T20:32:00+02:00,31
2016-10-28T20:40:00+02:00,36
2016-10-28T20:48:00+02:00,38
2016-10-28T20:56:00+02:00,50
2016-10-28T21:04:00+02:00,59
2016-10-28T21:12:00+02:00,47
2016-10-28T21:20:00+02:00,54
2016-10-28T21:28:00+02:00,40
2016-10-28T21:36:00+02:00,59
2016-10-28T21:44:00+02:00,63
2016-10-28T21:52:00+02:00,58
2016-10-28T22:00:00+02:00,39
2016-10-28T22:08:00+02:00,39
2016-10-28T22:16:00+02:00,39
2016-10-28T22:24:00+02:00,80
2016-10-28T22:32:00+02:00,50
2016-10-28T22:40:00+02:00,67
2016-10-28T22:48:00+02:00,31
2016-10-28T22:56:00+02:00,65
2016-10-28T23:04:00+02:00,59
2016-10-28T23:12:00+02:00,39
2016-10-28T23:20:00+02:00,8
2016-10-28T23:28:00+02:00,53
2016-10-28T23:36:00+02:00,33
2016-10-28T23:44:00+02:00,43
2016-10-28T23:52:00+02:00,32
2016-10-29T00:00:00+02:00,35
2016-10-29T00:08:00+02:00,59
2016-10-29T00:16:00+02:00,43
2016-10-29T00:24:00+02:00,45
2016-10-29T00:32:00+02:00,35
2016-10-29T00:40:00+02:00,41
2016-10-29T00:48:00+02:00,61
2016-10-29T00:56:00+02:00,29
2016-10-29T01:04:00+02:00,69
2016-10-29T01:12:00+02:00,44
2016-10-29T01:20:00+02:00,56
2016-10-29T01:28:00+02:00,58
2016-10-29T01:36:00+02:00,63
2016-10-29T01:44:00+02:00,58
2016-10-29T01:52:00+02:00,85
2016-10-29T02:00:00+02:00,53
2016-10-29T02:08:00+02:00,46
2016-10-29T02:16:00+02:00,85
2016-10-29T02:24:00+02:00,63
2016-10-29T02:32:00+02:00,78
2016-10-29T02:40:00+02:00,86
2016-10-29T02:48:00+02:00,59
2016-10-29T02:56:00+02:00,62
2016-10-29T03:04:00+02:00,42
2016-10-29T03:12:00+02:00,64
2016-10-29T03:20:00+02:00,60
2016-10-29T03:28:00+02:00,45
2016-10-29T03:36:00+02:00,0
2016-10-29T03:44:00+02:00,58
2016-10-29T03:52:00+02:00,68
2016-10-29T04:00:00+02:00,55
2016-10-29T04:08:00+02:00,45
2016-10-29T04:16:00+02:00,56
2016-10-29T04:24:00+02:00,44
2016-10-29T04:32:00+02:00,37
2016-10-29T04:40:00+02:00,58
2016-10-29T04:48:00+02:00,76
2016-10-29T04:56:00+02:00,78
2016-10-29T05:04:00+02:00,51
2016-10-29T05:12:00+02:00,56
2016-10-29T05:20:00+02:00,56
2016-10-29T05:28:00+02:00,53
2016-10-29T05:36:00+02:00,78
2016-10-29T05:44:00+02:00,69
2016-10-29T05:52:00+02:00,52
2016-10-29T06:00:00+02:00,100
2016-10-29T06:08:00+02:00,69
2016-10-29T06:16:00+02:00,45
2016-10-29T06:24:00+02:00,74
2016-10-29T06:32:00+02:00,28
2016-10-29T06:40:00+02:00,77
2016-10-29T06:48:00+02:00,62
2016-10-29T06:56:00+02:00,83
2016-10-29T07:04:00+02:00,81
2016-10-29T07:12:00+02:00,75
2016-10-29T07:20:00+02:00,94
2016-10-29T07:28:00+02:00,61
2016-10-29T07:36:00+02:00,51
2016-10-29T07:44:00+02:00,49
2016-10-29T07:52:00+02:00,44
2016-10-29T08:00:00+02:00,69
2016-10-29T08:08:00+02:00,53
2016-10-29T08:16:00+02:00,53
2016-10-29T08:24:00+02:00,80
2016-10-29T08:32:00+02:00,59
2016-10-29T08:40:00+02:00,85
2016-10-29T08:48:00+02:00,66
2016-10-29T08:56:00+02:00,52
2016-10-29T09:04:00+02:00,51
2016-10-29T09:12:00+02:00,62
2016-10-29T09:20:00+02:00,63
2016-10-29T09:28:00+02:00,32
2016-10-29T09:36:00+02:00,48
2016-10-29T09:44:00+02:00,65
2016-10-29T09:52:00+02:00,68
2016-10-29T10:00:00+02:00,43
2016-10-29T10:08:00+02:00,55
2016-10-29T10:16:00+02:00,70
2016-10-29T10:24:00+02:00,56
2016-10-29T10:32:00+02:00,53
2016-10-29T10:40:00+02:00,47
2016-10-29T10:48:00+02:00,51
2016-10-29T10:56:00+02:00,58
2016-10-29T11:04:00+02:00,44
2016-10-29T11:12:00+02:00,0
2016-10-29T11:20:00+02:00,43
2016-10-29T11:28:00+02:00,38
2016-10-29T11:36:00+02:00,46
2016-10-29T11:44:00+02:00,54
2016-10-29T11:52:00+02:00,38
2016-10-29T12:00:00+02:00,50
2016-10-29T12:08:00+02:00,38
2016-10-29T12:16:00+02:00,50
2016-10-29T12:24:00+02:00,41
2016-10-29T12:32:00+02:00,10
2016-10-29T12:40:00+02:00,33
2016-10-29T12:48:00+02:00,0
2016-10-29T12:56:00+02:00,33
2016-10-29T13:04:00+02:00,19
2016-10-29T13:12:00+02:00,15
2016-10-29T13:20:00+02:00,8
2016-10-29T13:28:00+02:00,0
2016-10-29T13:36:00+02:00,19
2016-10-29T13:44:00+02:00,11
2016-10-29T13:52:00+02:00,12
2016-10-29T14:00:00+02:00,12
2016-10-29T14:08:00+02:00,0
2016-10-29T14:16:00+02:00,0
2016-10-29T14:24:00+02:00,0
2016-10-29T14:32:00+02:00,0
2016-10-29T14:40:00+02:00,7
2016-10-29T14:48:00+02:00,0
2016-10-29T14:56:00+02:00,6
2016-10-29T15:04:00+02:00,0
2016-10-29T15:12:00+02:00,0
2016-10-29T15:20:00+02:00,5
2016-10-29T15:28:00+02:00,6
2016-10-29T15:36:00+02:00,0
2016-10-29T15:44:00+02:00,0
2016-10-29T15:52:00+02:00,12
2016-10-29T16:00:00+02:00,8
2016-10-29T16:08:00+02:00,0
2016-10-29T16:16:00+02:00,15
2016-10-29T16:24:00+02:00,0
2016-10-29T16:32:00+02:00,0
2016-10-29T16:40:00+02:00,0
2016-10-29T16:48:00+02:00,0
2016-10-29T16:56:00+02:00,6
2016-10-29T17:04:00+02:00,13
2016-10-29T17:12:00+02:00,0
2016-10-29T17:20:00+02:00,6
2016-10-29T17:28:00+02:00,0
2016-10-29T17:36:00+02:00,0
2016-10-29T17:44:00+02:00,13
2016-10-29T17:52:00+02:00,0
2016-10-29T18:00:00+02:00,7
2016-10-29T18:08:00+02:00,0
2016-10-29T18:16:00+02:00,0
2016-10-29T18:24:00+02:00,8
2016-10-29T18:32:00+02:00,0
2016-10-29T18:40:00+02:00,0
2016-10-29T18:48:00+02:00,0
2016-10-29T18:56:00+02:00,28
2016-10-29T19:04:00+02:00,20
2016-10-29T19:12:00+02:00,14
2016-10-29T19:20:00+02:00,0
2016-10-29T19:28:00+02:00,12
2016-10-29T19:36:00+02:00,20
2016-10-29T19:44:00+02:00,25
2016-10-29T19:52:00+02:00,35
2016-10-29T20:00:00+02:00,43
2016-10-29T20:08:00+02:00,26
2016-10-29T20:16:00+02:00,27
2016-10-29T20:24:00+02:00,34
2016-10-29T20:32:00+02:00,37
2016-10-29T20:40:00+02:00,43
2016-10-29T20:48:00+02:00,44
2016-10-29T20:56:00+02:00,50
2016-10-29T21:04:00+02:00,56
2016-10-29T21:12:00+02:00,50
2016-10-29T21:20:00+02:00,49
2016-10-29T21:28:00+02:00,41
2016-10-29T21:36:00+02:00,60
2016-10-29T21:44:00+02:00,59
2016-10-29T21:52:00+02:00,51
2016-10-29T22:00:00+02:00,58
